"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)"
"Adranosite","Adranosite","(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_","(NH_4_)_4_NaAl_2_(SO_4_)_4_Cl(OH)_2_"
"Adranosite-(Fe)","Adranosite-(Fe)","(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_","(NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_"
"Adrianite","Adrianite","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_"
"Aegirine","Aegirine","NaFe^3+^Si_2_O_6_","NaFe^3+^Si_2_O_6_"
"Aegirine-augite","Aegirine-augite","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_"
"Aenigmatite","Aenigmatite","Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]"
"Aerinite","Aerinite","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
"Aerugite","Aerugite","Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_","Ni_8.5_(AsO_4_)_2_As^5+^O_8_"
"Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_"
"Aeschynite-(Nd)","Aeschynite-(Nd)","(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Nd,Ln,Ca)(Ti,Nb)_2_(O,OH)_6_"
"Aeschynite-(Y)","Aeschynite-(Y)","(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_"
"Afghanite","Afghanite","Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_"
"Afmite","Afmite","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O"
"Afwillite","Afwillite","Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O","Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O"
"Agaite","Agaite","Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)","Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)"
"Agakhanovite-(Y)","Agakhanovite-(Y)","Y^3+^Ca[box]_2_KBe_3_Si_12_O_30_","YCa[box]_2_KBe_3_Si_12_O_30_"
"Agardite-(Ce)","Agardite-(Ce)","Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","CeCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agardite-(La)","Agardite-(La)","Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","LaCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agardite-(Nd)","Agardite-(Nd)","Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","NdCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agardite-(Y)","Agardite-(Y)","Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agmantinite","Agmantinite","Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_","Ag_2_MnSnS_4_"
"Agrellite","Agrellite","NaCa_2_Si_4_O_10_F","NaCa_2_Si_4_O_10_F"
"Agricolaite","Agricolaite","K_4_(U^6+^O_2_)(CO_3_)_3_","K_4_(UO_2_)(CO_3_)_3_"
"Agrinierite","Agrinierite","K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O","K_2_Ca[(UO_2_)_3_O_3_(OH)_2_]_2_·5H_2_O"
"Aguilarite","Aguilarite","Ag_4_SeS","Ag_4_SeS"
"Aheylite","Aheylite","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O"
"Ahlfeldite","Ahlfeldite","Ni^2+^Se^4+^O_3_·2H_2_O","Ni(SeO_3_)·2H_2_O"
"Ahrensite","Ahrensite","SiFe^2+^_2_O_4_","SiFe_2_O_4_"
"Aikinite","Aikinite","CuPbBiS_3_","CuPbBiS_3_"
"Aiolosite","Aiolosite","Na_2_(Na_2_Bi^3+^)(S^6+^O_4_)_3_Cl","Na_2_(Na_2_Bi)(SO_4_)_3_Cl"
"Ajoite","Ajoite","K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O","K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O"
"Akaganeite","Akaganeite","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O"
"Akaogiite","Akaogiite","Ti^4+^O_2_","TiO_2_"
"Akatoreite","Akatoreite","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_"
"Akdalaite","Akdalaite","(Al_2_O_3_)_5_·H_2_O","(Al_2_O_3_)_5_·H_2_O"
"Åkermanite","Akermanite","Ca_2_MgSi_2_O_7_","Ca_2_MgSi_2_O_7_"
"Akhtenskite","Akhtenskite","Mn^4+^O_2_","MnO_2_"
"Akimotoite","Akimotoite","MgSiO_3_","MgSiO_3_"
"Aklimaite","Aklimaite","Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O","Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O"
"Akopovaite","Akopovaite","Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_","Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_"
"Akrochordite","Akrochordite","Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O","Mn^2+^_5_(AsO_4_)_2_(OH)_4_·4H_2_O"
"Aksaite","Aksaite","MgB_6_O_7_(OH)_6_·2H_2_O","MgB_6_O_7_(OH)_6_·2H_2_O"
"Aktashite","Aktashite","Cu_6_Hg_3_As_4_S_12_","Cu_6_Hg_3_As_4_S_12_"
"Alabandite","Alabandite","Mn^2+^S^2-^","MnS"
"Alacránite","Alacranite","As_8_S_9_","As_8_S_9_"
"Alamosite","Alamosite","Pb^2+^SiO_3_","PbSiO_3_"
"Alarsite","Alarsite","AlAs^5+^O_4_","Al(AsO_4_)"
"Albertiniite","Albertiniite","Fe^2+^(S^4+^O_3_)·3H_2_O","Fe^2+^(SO_3_)·3H_2_O"
"Albite","Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)"
"Albrechtschraufite","Albrechtschraufite","Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O","MgCa_4_F_2_[UO_2_(CO_3_)_3_]_2_·17-18H_2_O"
"Alburnite","Alburnite","Ag_8_GeTe_2_S_4_","Ag_8_GeTe_2_S_4_"
"Alcaparrosaite","Alcaparrosaite","K_3_Ti^4+^Fe^3+^(S^6+^O_4_)_4_O·2H_2_O","K_3_Ti^4+^Fe^3+^(SO_4_)_4_O(H_2_O)_2_"
"Aldermanite","Aldermanite","Mg_5_Al_12_(PO_4_)_8_(OH)_22_·32H_2_O","Mg_5_Al_12_(PO_4_)_8_(OH)_22_·32H_2_O"
"Aldridgeite","Aldridgeite","(Cd^2+^,Ca)(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O","(Cd,Ca)(Cu,Zn)_4_(SO_4_)_2_(OH)_6_·3H_2_O"
"Aleksandrovite","Aleksandrovite","KCa_7_Sn^4+^_2_Li_3_Si_12_O_36_F_2_","KCa_7_Sn_2_Li_3_Si_12_O_36_F_2_"
"Aleksite","Aleksite","Pb^2+^Bi^3+^_2_Te^2-^_2_S^2-^_2_","PbBi_2_Te_2_S_2_"
"Aleutite","Aleutite","[Cu^2+^_5_O_2_](As^5+^O_4_)(V^5+^O_4_)·(Cu^1+^,K,Pb,Rb,Cs)Cl","[Cu_5_O_2_](AsO_4_)(VO_4_)·(Cu,K,Pb,Rb,Cs)Cl"
"Alexkhomyakovite","Alexkhomyakovite","K_6_(Ca_2_Na)(CO_3_)_5_Cl^1-^·6H_2_O","K_6_(Ca_2_Na)(CO_3_)_5_Cl·6H_2_O"
"Alflarsenite","Alflarsenite","NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O","NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O"
"Alforsite","Alforsite","Ba_5_(PO_4_)_3_Cl","Ba_5_(PO_4_)_3_Cl"
"Alfredopetrovite","Alfredopetrovite","Al_2_(Se^4+^O_3_)_3_·6H_2_O","Al_2_(Se^4+^O_3_)_3_·6H_2_O"
"Alfredstelznerite","Alfredstelznerite","Ca_4_B_16_O_16_(OH)_24_·19H_2_O","Ca_4_(H_2_O)_4_[B_4_O_4_(OH)_6_]_4_(H_2_O)_15_"
"Algodonite","Algodonite","Cu_1-x_As_x_ (x ≈ 1/7)","Cu_1-x_As_x_ (x ≈ 0.15)"
"Aliettite","Aliettite","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O"
"Allabogdanite","Allabogdanite","(Fe,Ni)_2_P","(Fe,Ni)_2_P"
"Allactite","Allactite","Mn^2+^_7_(As^5+^O_4_)_2_(OH)_8_","Mn^2+^_7_(AsO_4_)_2_(OH)_8_"
"Allanite-(Ce)","Allanite-(Ce)","CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","CaCe(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Allanite-(La)","Allanite-(La)","CaLaFe^2+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)","CaLa(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Allanite-(Nd)","Allanite-(Nd)","CaNdAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","CaNd(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Allanite-(Y)","Allanite-(Y)","CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","CaY(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Allanpringite","Allanpringite","Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O","Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O"
"Allargentum","Allargentum","Ag_1-x_Sb_x_ (x=0.09-0.16)","Ag_1-x_Sb_x_ (x ≈ 0.09-0.16)"
"Alleghanyite","Alleghanyite","Mn^2+^_5_(SiO_4_)_2_(OH)_2_","Mn^2+^_5_(SiO_4_)_2_(OH)_2_"
"Allendeite","Allendeite","Sc^3+^_4_Zr^4+^_3_O_12_","Sc_4_Zr_3_O_12_"
"Allochalcoselite","Allochalcoselite","Cu^1+^Cu^2+^_5_Pb^2+^O_2_(Se^4+^O_3_)_2_Cl_5_","Cu^1+^Cu^2+^_5_PbO_2_(SeO_3_)_2_Cl_5_"
"Alloclasite","Alloclasite","Co^3+^(AsS)^3-^","CoAsS"
"Allophane","Allophane","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O"
"Alloriite","Alloriite","(Na,K,Ca)_24_(Na,Ca)_4_Ca_4_(Si,Al)_48_O_96_(S^6+^O_4_)_4_(SO_3_,CO_3_)_2_(OH,Cl)_2_(H_2_O,OH)_4_","(Na,K,Ca)_24_(Na,Ca)_4_Ca_4_(Si,Al)_48_O_96_(SO_4_)_4_(SO_3_,CO_3_)_2_(OH,Cl)_2_(H_2_O,OH)_4_"
"Alluaivite","Alluaivite","Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O","Na_19_(Ca,Mn^2+^)_6_(Ti,Nb)_3_Si_26_O_74_Cl·2H_2_O"
"Alluaudite","Alluaudite","(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_","(Na,Ca)(Mn,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_"
"Almandine","Almandine","Fe^2+^_3_Al_2_(SiO_4_)_3_","Fe^2+^_3_Al_2_(SiO_4_)_3_"
"Almarudite","Almarudite","K([box],Na)_2_Mn^2+^_2_(Be_3_Si_12_)O_30_","K([box],Na)_2_(Mn,Fe,Mg)_2_[(Be,Al)_3_Si_12_]O_30_"
"Almeidaite","Almeidaite","Pb^2+^Zn^2+^_2_(Mn^2+^,Y^3+^)(Ti^4+^,Fe^3+^)_18_O_36_(OH,O)_2_","PbZn_2_(Mn,Y)(Ti,Fe^3+^)_18_O_36_(OH,O)_2_"
"Alnaperbøeite-(Ce)","Alnaperboeite-(Ce)","(CaCe_2.5_Na_0.5_)Al_4_(Si_2_O_7_)(SiO_4_)_3_O(OH)_2_","(CaCe_2.5_Na_0.5_)(Al_4_)(Si_2_O_7_)(SiO_4_)_3_O(OH)_2_"
"Alpeite","Alpeite","Ca_4_Mn^3+^_2_Al_2_(Mn^3+^Mg)(SiO_4_)_2_(Si_3_O_10_)(V^5+^O_4_)(OH)_6_","Ca_4_Mn^3+^_2_Al_2_(Mn^3+^Mg)(SiO_4_)_2_(Si_3_O_10_)(VO_4_)(OH)_6_"
"Alpersite","Alpersite","(Mg,Cu^2+^)S^6+^O_4_·7H_2_O","(Mg,Cu)(SO_4_)·7H_2_O"
"Alsakharovite-Zn","Alsakharovite-Zn","NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O","NaSrKZn(Ti,Nb)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O"
"Alstonite","Alstonite","BaCa(CO_3_)_2_","BaCa(CO_3_)_2_"
"Altaite","Altaite","Pb^2+^Te^2-^","PbTe"
"Alterite","Alterite","Zn^2+^_2_Fe^3+^_4_(S^6+^O_4_)_4_((C_2_)^6+^O_4_)_2_(OH)_4_·17H_2_O","Zn_2_Fe^3+^_4_(SO_4_)_4_(C_2_O_4_)_2_(OH)_4_·17H_2_O"
"Althausite","Althausite","Mg_4_(PO_4_)_2_(OH,O)(F,[box])","Mg_4_(PO_4_)_2_(OH,O)(F,[box])"
"Althupite","Althupite","AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O","AlTh(UO_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O"
"Altisite","Altisite","Na_3_K_6_Ti^4+^_2_Al_2_Si_8_O_26_Cl_3_","Na_3_K_6_Ti_2_Al_2_Si_8_O_26_Cl_3_"
"Aluminite","Aluminite","Al_2_S^6+^O_4_(OH)_4_·7H_2_O","Al_2_(SO_4_)(OH)_4_·7H_2_O"
"Aluminium","Aluminium","Al","Al"
"Aluminoceladonite","Aluminoceladonite","KMgAlSi_4_O_10_(OH)_2_","K(Mg,Fe^2+^)Al(Si_4_O_10_)(OH)_2_"
"Aluminocerite-(Ce)","Aluminocerite-(Ce)","(Ce,Ca)_9_Al(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_","(Ce,REE,Ca)_9_(Al,Fe^3+^)(SiO_4_)_3_[SiO_3_(OH)]_4_(OH)_3_"
"Aluminocopiapite","Aluminocopiapite","(Al,Mg)Fe^3+^_4_(S^6+^O_4_)_6_(OH,O)_2_·20H_2_O","(Al,Mg)Fe^3+^_4_(SO_4_)_6_(OH,O)_2_·20H_2_O"
"Aluminocoquimbite","Aluminocoquimbite","AlFe^3+^(S^6+^O_4_)_3_·9H_2_O","AlFe(SO_4_)_3_·9H_2_O"
"Aluminomagnesiohulsite","Aluminomagnesiohulsite","Mg_2_AlO_2_(BO_3_)","Mg_2_AlO_2_(BO_3_)"
"Aluminopyracmonite","Aluminopyracmonite","(N^3-^H_4_)_3_Al(S^6+^O_4_)_3_","(NH_4_)_3_Al(SO_4_)_3_"
"Alum-(K)","Alum-(K)","KAl(SO_4_)_2_·12H_2_O","KAl(SO_4_)_2_·12H_2_O"
"Alum-(Na)","Alum-(Na)","NaAl(SO_4_)_2_·12H_2_O","NaAl(SO_4_)_2_·12H_2_O"
"Alumoåkermanite","Alumoakermanite","(Ca,Na)_2_(Al,Mg,Fe^2+^)(Si_2_O_7_)","(Ca,Na)_2_(Al,Mg,Fe^2+^)(Si_2_O_7_)"
"Alumoedtollite","Alumoedtollite","K_2_NaCu^2+^_5_AlO_2_(As^5+^O_4_)_4_","K_2_NaCu_5_AlO_2_(AsO_4_)_4_"
"Alumohydrocalcite","Alumohydrocalcite","CaAl_2_(CO_3_)_2_(OH)_4_·3H_2_O","CaAl_2_(CO_3_)_2_(OH)_4_·4H_2_O"
"Alumoklyuchevskite","Alumoklyuchevskite","K_3_Cu^2+^_3_AlO_2_(SO_4_)_4_","K_3_Cu^2+^_3_AlO_2_(SO_4_)_4_"
"Alumotantite","Alumotantite","AlTa^5+^O_4_","AlTaO_4_"
"Alumovesuvianite","Alumovesuvianite","Ca_19_Al(Al_10_Mg_2_)Si_18_O_69_(OH)_9_","Ca_19_Al(Al_10_Mg_2_)Si_18_O_69_(OH)_9_"
"Alunite","Alunite","KAl_3_(SO_4_)_2_(OH)_6_","KAl_3_(SO_4_)_2_(OH)_6_"
"Alunogen","Alunogen","Al_2_(SO_4_)_3_(H_2_O)_12_·5H_2_O","Al_2_(SO_4_)_3_(H_2_O)_12_·5H_2_O"
"Alvanite","Alvanite","(Zn^2+^,Ni^2+^)Al_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O","(Zn,Ni)Al_4_(VO_3_)_2_(OH)_12_·2H_2_O"
"Alwilkinsite-(Y)","Alwilkinsite-(Y)","Y^3+^(U^6+^O_2_)_3_(S^6+^O_4_)_2_O(OH)_3_(H_2_O)_7_·7H_2_O","Y(UO_2_)_3_(SO_4_)_2_O(OH)_3_(H_2_O)_7_·7H_2_O"
"Amakinite","Amakinite","Fe^2+^(OH)_2_","(Fe^2+^,Mg)(OH)_2_"
"Amamoorite","Amamoorite","CaMn^2+^_2_Mn^3+^(Si_2_O_7_)O(OH)","CaMn^2+^_2_Mn^3+^(Si_2_O_7_)O(OH)"
"Amarantite","Amarantite","Fe^3+^_2_O(S^6+^O_4_)_2_·7H_2_O","Fe^3+^_2_O(SO_4_)_2_·7H_2_O"
"Amarillite","Amarillite","NaFe^3+^(SO_4_)_2_·6H_2_O","NaFe^3+^(SO_4_)_2_·6H_2_O"
"Amblygonite","Amblygonite","LiAlPO_4_F","LiAl(PO_4_)F"
"Ambrinoite","Ambrinoite","[K,(N^3-^H_4_)]_2_(As^5+^,Sb)_6_(Sb,As)_2_S_13_·H_2_O","[K,(NH_4_)]_2_(As,Sb)_6_(Sb,As)_2_S_13_·H_2_O"
"Ameghinite","Ameghinite","NaB_3_O_3_(OH)_4_","NaB_3_O_3_(OH)_4_"
"Amesite","Amesite","Mg_2_Al(AlSiO_5_)(OH)_4_","Mg_2_Al(AlSiO_5_)(OH)_4_"
"Amicite","Amicite","K_2_Na_2_(Si_4_Al_4_O_16_)·5H_2_O","K_2_Na_2_(Al_4_Si_4_O_16_)·5H_2_O"
"Aminoffite","Aminoffite","Ca_3_(BeOH)_2_Si_3_O_10_","Ca_3_(BeOH)_2_Si_3_O_10_"
"Ammineite","Ammineite","Cu^2+^Cl_2_(N^3-^H_3_)_2_","CuCl_2_·2NH_3_"
"Ammonioalunite","Ammonioalunite","N^3-^H_4_Al_3_(S^6+^O_4_)_2_(OH)_6_","(NH_4_)Al_3_(SO_4_)_2_(OH)_6_"
"Ammonioborite","Ammonioborite","(N^3-^H_4_)_3_B_15_O_20_(OH)_8_·4H_2_O","(NH_4_)_3_B_15_O_20_(OH)_8_·4H_2_O"
"Ammoniojarosite","Ammoniojarosite","N^3-^H_4_Fe^3+^_3_(S^6+^O_4_)_2_(OH)_6_","(NH_4_)Fe^3+^_3_(SO_4_)_2_(OH)_6_"
"Ammoniolasalite","Ammoniolasalite","[(N^3-^H_4_)_2_Mg_2_(H_2_O)_20_]·[V^5+^_10_O_28_]","[(NH_4_)_2_Mg_2_(H_2_O)_20_]·[V_10_O_28_]"
"Ammonioleucite","Ammonioleucite","(N^3-^H_4_)AlSi_2_O_6_","(NH_4_,K)(AlSi_2_O_6_)"
"Ammoniomagnesiovoltaite","Ammoniomagnesiovoltaite","(N^3-^H_4_)_2_Mg_5_Fe^3+^_3_Al(S^6+^O_4_)_12_·18H_2_O","(NH_4_)_2_Mg_5_Fe^3+^_3_Al(SO_4_)_12_·18H_2_O"
"Ammoniomathesiusite","Ammoniomathesiusite","(N^3-^H_4_)_5_(U^6+^O_2_)_4_(S^6+^O_4_)_4_(V^5+^O_5_)·4H_2_O","(NH_4_)_5_(UO_2_)_4_(SO_4_)_4_(VO_5_)·4H_2_O"
"Ammoniovoltaite","Ammoniovoltaite","(N^3-^H_4_)_2_Fe^2+^_5_Fe^3+^_3_Al(S^6+^O_4_)_12_(H_2_O)_18_","(NH_4_)_2_Fe^2+^_5_Fe^3+^_3_Al(SO_4_)_12_(H_2_O)_18_"
"Ammoniozippeite","Ammoniozippeite","(N^3-^H_4_)_2_[(U^6+^O_2_)_2_(S^6+^O_4_)O_2_]·H_2_O","(NH_4_)_2_[(UO_2_)_2_(SO_4_)O_2_]·H_2_O"
"Amstallite","Amstallite","CaAl(Si,Al)_4_O_8_(OH)_4_·(H_2_O,Cl)","CaAl[(Al,Si)_4_O_8_(OH)_2_](OH)_2_·(H_2_O,Cl)"
"Analcime","Analcime","NaAlSi_2_O_6_·H_2_O","Na(AlSi_2_O_6_)·H_2_O"
"Anandite","Anandite","BaFe^2+^_3_(Si_3_Fe^3+^)O_10_S(OH)","BaFe^2+^_3_(Si_3_Fe^3+^)O_10_S(OH)"
"Anapaite","Anapaite","Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O","Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O"
"Anatase","Anatase","Ti^4+^O_2_","TiO_2_"
"Anatolyite","Anatolyite","Na_6_(Ca,Na)(Mg,Fe^3+^)_3_Al(As^5+^O_4_)_6_","Na_6_(Ca,Na)(Mg,Fe^3+^)_3_Al(AsO_4_)_6_"
"Ancylite-(Ce)","Ancylite-(Ce)","CeSr(CO_3_)_2_(OH)·H_2_O","CeSr(CO_3_)_2_(OH)·H_2_O"
"Ancylite-(La)","Ancylite-(La)","LaSr(CO_3_)_2_(OH)·H_2_O","LaSr(CO_3_)_2_(OH)·H_2_O"
"Andalusite","Andalusite","Al_2_SiO_5_","Al_2_SiO_5_"
"Andersonite","Andersonite","Na_2_Ca(UO_2_)(CO_3_)_3_·5-6H_2_O","Na_2_Ca(UO_2_)(CO_3_)_3_·5-66H_2_O"
"Andorite IV","Andorite IV","AgPbSb_3_S_6_","AgPbSb_3_S_6_"
"Andorite VI","Andorite VI","AgPbSb_3_S_6_","AgPbSb_3_S_6_"
"Andradite","Andradite","Ca_3_Fe^3+^_2_(SiO_4_)_3_","Ca_3_Fe^3+^_2_(SiO_4_)_3_"
"Andreadiniite","Andreadiniite","CuHgAg_7_Pb_7_Sb_24_S_48_","CuHgAg_7_Pb_7_Sb_24_S_48_"
